ภาค,จังหวัด,แบบการบริหาร,จำนวนแพทย์,สัดส่วนประชากรต่อแพทย์,จำนวนทันตแพทย์,สัดส่วนประชากรต่อทันตแพทย์,จำนวนเภสัชกร,สัดส่วนประชากรต่อเภสัชกร,จำนวนพยาบาลวิชาชีพ,สัดส่วนประชากรต่อพยาบาลวิชาชีพ,จำนวนพยาบาลเทคนิค,สัดส่วนประชากรต่อพยาบาลเทคนิค,จำนวนสถานพยาบาล,จำนวนเตียง
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,9273,601,1036,5381,2640,2112,33204,168,4752,1173,119,28275
กรุงเทพมหานคร,กรุงเทพมหานคร,รัฐบาล,3902,1429,366,15233,1055,5284,14092,396,2452,2274,29,12221
กรุงเทพมหานคร,กรุงเทพมหานคร,องค์กรอิสระ,295,18899,194,28738,129,43218,2292,2432,1188,4693,3,1529
กรุงเทพมหานคร,กรุงเทพมหานคร,เอกชน,3824,1458,212,26298,1077,5177,11690,477,341,16349,78,11663
กรุงเทพมหานคร,กรุงเทพมหานคร,องค์การบริหารส่วนท้องถิ่น,1252,4453,264,21118,379,14710,5130,1087,771,7231,9,2862
ภาคกลาง,สมุทรปราการ,รวม,583,2231,84,15486,247,5267,2219,586,36,36134,8,640
ภาคกลาง,สมุทรปราการ,รัฐบาล,277,4696,58,22428,115,11312,1138,1143,30,43361,6,891
ภาคกลาง,สมุทรปราการ,องค์กรอิสระ,0,0,0,0,0,0,0,0,0,0,0,0
ภาคกลาง,สมุทรปราการ,เอกชน,305,4265,25,52033,130,10006,1070,1216,5,260166,1,100
ภาคกลาง,สมุทรปราการ,องค์การบริหารส่วนท้องถิ่น,1,1300830,1,1300830,2,650415,11,118257,1,1300830,0,0
ภาคกลาง,นนทบุรี,รวม,682,1802,155,7927,236,5206,2923,420,25,49146,8,912
ภาคกลาง,นนทบุรี,รัฐบาล,490,2507,132,9308,180,6826,2438,504,23,53420,11,1232
ภาคกลาง,นนทบุรี,องค์กรอิสระ,53,23182,6,204775,11,111695,0,0,0,0,0,0
ภาคกลาง,นนทบุรี,เอกชน,137,8968,13,94511,44,27924,449,2736,2,614325,0,0
ภาคกลาง,นนทบุรี,องค์การบริหารส่วนท้องถิ่น,2,614325,4,307162,1,1228649,36,34129,0,0,0,0
ภาคกลาง,ปทุมธานี,รวม,805,1402,110,10264,210,5376,2213,510,20,56450,14,2879
ภาคกลาง,ปทุมธานี,รัฐบาล,648,1742,101,11178,151,7477,1629,693,14,80643,9,945
ภาคกลาง,ปทุมธานี,องค์กรอิสระ,0,0,0,0,0,0,0,0,0,0,0,0
ภาคกลาง,ปทุมธานี,เอกชน,155,7284,7,161287,57,19807,548,2060,3,376335,4,678
ภาคกลาง,ปทุมธานี,องค์การบริหารส่วนท้องถิ่น,2,564503,2,564503,2,564503,36,31361,3,376335,0,0
ภาคกลาง,พระนครศรีอยุธยา,รวม,296,2749,79,10299,156,5216,1583,514,18,45201,21,3012
ภาคกลาง,พระนครศรีอยุธยา,รัฐบาล,278,2927,75,10848,131,6211,1437,566,14,58116,18,1747
ภาคกลาง,พระนครศรีอยุธยา,องค์กรอิสระ,0,0,0,0,0,0,0,0,0,0,0,0
ภาคกลาง,พระนครศรีอยุธยา,เอกชน,18,45201,4,203406,25,32545,145,5611,4,203406,9,938
ภาคกลาง,พระนครศรีอยุธยา,องค์การบริหารส่วนท้องถิ่น,0,0,0,0,0,0,1,813622,0,0,0,0
ภาคกลาง,อ่างทอง,รวม,110,2551,34,8254,64,4385,708,396,9,31180,7,651
ภาคกลาง,อ่างทอง,รัฐบาล,101,2778,34,8254,61,4600,693,405,8,35078,7,696
ภาคกลาง,อ่างทอง,องค์กรอิสระ,0,0,0,0,0,0,0,0,0,0,0,0
ภาคกลาง,อ่างทอง,เอกชน,6,46770,0,0,2,140311,10,28062,1,280621,1,60
ภาคกลาง,อ่างทอง,องค์การบริหารส่วนท้องถิ่น,3,93540,0,0,1,280621,5,56124,0,0,0,0
